beat,population,square_mileage,households,85,80-84,75-79,70-74,67-69,65-66,62-64,60-61,55-59,50-54,45-49,40-44,35-39,30-34,25-29,22-24,21,20,18-19,15-17,10-14,5-9,0-4,<=21,22-29,30-39,40-49,50-59,60-64,65,med_income,pop_food_stamps,percent_on_fs,bachelors,high_school,no_high_school,percent_bachelors,percent_high_school,percent_no_high_school,se_35+,se_25-34,se_20-24,se_18-19,se_15-17,se_10-14,se_5-9,se_0-4,total_se,percent_se,percent_se_0-4,percent_se_5-9,percent_se_10-14,percent_se_15-17,percent_se_18-19,percent_se_20-24,percent_se_25-34,youngPop,percent_se_35+
1133,5448.1990676341,0.4715835521,1812.4727435719,18.5253857591,73.3324104286,115.9242123734,147.8794415193,98.8624993284,36.026568366,97.7628282102,90.14981554320000,278.2261913521,464.7763082266,275.48559810210000,299.0705741999,327.8394312357,318.7680596185,321.10930148850000,320.8306738498,100.0776151901,188.5213422714,180.0574737302,271.8378573132,466.1722303097,477.456876519,479.5315375837,2163.6549329173,641.9399753383,646.6074908542,574.556172302,743.0024995787,187.9126437534,490.55051777480000,22584.301373323300,1015.7213191384,56.04063965876170,512.2466305870000,1711.542201105,739.9497837552000,17.283945879071200,57.749921633932400,24.966981239095100,39.9082038804,45.017774914900000,91.787164304,131.9042315291,264.47050556,461.66707499630000,474.9944537138,242.16718438760000,1751.9165932861,32.15588438560630,50.50078366229060,99.484262783447,99.03358565343820,97.28979921118500,73.25673786068260,15.06115876028260,7.035375472108970,2323.8360997600000,1.2773229068053700
1134,4540.9371914186000,0.3524571176,1507.9047692988000,87.3090604121,55.764680546100000,96.5291808951,75.7919706871,125.3639465366,70.5334649845,103.80727477320000,63.3989830245,230.7367405029,231.8635820311,190.75407609380000,217.4415673378,210.95419613220000,420.558135791,451.98245294340000,248.868725882,60.039609319200000,77.1086103655,116.4060965791,164.290459468,356.7474455504,446.24059036660000,438.4733861242,1659.3061977730000,700.8511788254,631.5123319232,408.19564343160000,462.60032253400000,167.2062577977,511.29230406150000,26950.148678343200,741.8952708640000,49.200406150913200,552.5577868827000,1477.7019226143,602.529606086,20.987758509319200,56.127434698824300,22.885834147031400,57.07343049560000,47.618473096,83.43335761760000,92.9394543042,164.290459468,356.7474455504,403.2102572135,277.8381360339,1483.1510137792000,32.66178216651040,63.36488024730440,90.35714498366240,100.0,100.0,79.84071026816540,21.613910626414100,5.457450772011590,1760.2216790292000,2.0524728344669200
1135,5731.9905515696,0.49509839410000000,1740.7439555997,6.339735655500000,24.6655073383,34.1334766857,96.5471321408,72.34866176130000,82.28096193400000,116.8693502117,43.8580306298,440.07182824490000,341.095637434,227.74690125810000,437.2789420539,384.5042182817,488.4886092415,438.598852743,443.80091291060000,137.1824263912,125.6578247828,176.9322672622,180.1454710969,504.44033079920000,392.2577860411,536.767004757,2053.3831111304,882.3997656536,872.9928275232,665.025843312,781.1674656789,160.7273808415,316.31547551560000,41588.7723570931,636.1201823507,36.543006816390300,926.4388493777000,1572.9975564585,735.3914450674,28.639698896783800,48.62725306976160,22.73370721893660,106.00719594270000,159.83860799160000,228.45320739280000,105.7576124972,179.93333914040000,501.64919467230000,359.5282704364,343.72320340590000,1984.8906314793,34.62829559158600,64.03582939333370,91.65612085485270,99.44668656400300,99.88224408018240,59.77293691742240,32.32945078832820,17.240941609700300,2307.7190655441,3.095759094315880
1211,8975.3466038192,0.4450187248,3664.5591247224000,44.8909026379,64.5779955938,34.8703366774,132.62250379600000,116.0390892256,186.10150734290000,154.3426579247,82.91063976550000,393.6696632535,409.4494871829,645.3311920373000,688.3273004455,946.9978007457,1206.4858010034,1313.5588223667,379.72415955360000,57.749944321,55.5688673566,163.1188890944,231.8879329539,398.57393236120000,610.8829148824,657.6385600968,2175.4210410663,1693.2829819203,2153.4836017491000,1333.6584924828,803.1191504364,237.25329769020000,579.1023352736,52414.7260596266,905.7876840906,24.717507707266600,3118.5634279847000,2096.2182232706,1205.3940457729,48.574230497358900,32.65034991310420,18.77501919444820,64.712919115,361.0915429464,130.53043004470000,95.35881558,215.9760106324,398.57393236120000,604.8219376386,312.54711314080000,2183.6127014591000,24.329006977066800,47.52566715291070,99.0078332367559,100.0,93.13809816715930,58.459701454203800,26.47445307226400,14.328775752530400,3900.1567798292000,1.2750837182307400
1212,11552.903249878700,0.44099519510000000,5509.4048741092,112.2010817803,58.6886529425,79.67576521550000,124.4498262809,125.0293873946,120.9996314187,159.6333819709,184.74143924650000,424.2818466896,428.1850631453,497.777789883,773.2110129341,1258.9468930015,2419.6770444796000,2186.7422976432,681.1006598196,76.5745417513,93.54797272540000,128.0856904131,131.3864647386,307.26196277810000,496.5767447807,684.0927068685000,1917.5260840557000,2867.8429574628,3678.6239374811,1270.9888028171000,852.4669098349,344.37482121740000,621.0443450325,75075.4518788792,339.8030183144,6.167690087749120,6524.7986271857,1758.8157646715,670.6267221641,72.86796005027480,19.642187322362700,7.489457375081930,97.41509911950000,628.5765742315,277.120589977,96.15968590920000,131.3864647386,307.26196277810000,488.6200664925,371.0363917428,2397.5768349892,20.75302444010660,54.23773532702240,98.39769413855380,100.0,100.0,75.07449551863860,32.55557394875830,13.645665484328900,4347.857163880600,1.3520399169800100
1213,10091.4630816478,0.5273819438,4403.5227617957,48.775865394600000,89.0637825818,101.07755326790000,143.2219445003,191.9403920661,62.7711796782,239.5878490018,62.0637562733,364.7808835885,278.5610539541,449.1740530389,618.2496238806,1270.1641764326,2003.6212034704000,2245.2669439121,525.6310407258000,93.4589888553,15.825159590700000,43.751994654100000,112.734939439,252.44891648460000,267.301113595,612.0348507013,1397.55596332,2770.8979846379,3273.785379903,1067.4236769195,643.3419375426000,301.6516052751,636.8507174889,94449.321751968,520.7293161598000,11.825289531317300,5563.434989625300,1717.7278097765,887.1574906469,68.11027120986570,21.029257501306000,10.861012559058200,255.29709310350000,561.2554961404,197.5393783454,43.7486854714,73.99119598520000,242.49747999300000,234.17615538010000,370.8495836624,1979.3550680814,19.614153587709500,60.59288670203370,87.607624312,96.05803953125420,65.63288750887750,99.99243649866450,31.112718944883900,13.209467434113500,3919.3879302195000,4.136325090669400
1214,9832.4654656891,0.5995263504,5460.2579439665000,18.885153033000000,4.5360643164,4.0276339937,54.77119049,197.9979131927,142.92936593210000,207.6600287308,61.2725072692,417.07821102340000,262.68816815220000,550.9492731121,736.128758989,1097.17415921,2275.3896403396000,2280.2336571898,518.4083033675,55.8397605592,1.7314339841,1.6694029644,23.2141582706,104.0075449013,209.4353689499,606.3996807128,1002.2973503423,2798.6419605573,3372.5637995496,1287.0780321011000,679.7663791756000,268.932536,423.1473209579000,114927.3795307560,204.39041736,3.743237397527130,7097.4417810028,1066.5461274462,147.73382527800000,85.39036186745480,12.831772712068100,1.7774072954451700,78.6990576004,567.6224223601,159.3897746803,1.6600550007,23.2141582706,104.0075449013,201.2545376405,328.7711854028,1464.6187358567000,14.895742486638400,54.21691268312380,96.09386353870490,100.0,100.0,99.44004150589490,27.672820865749700,12.459819113400600,3756.136514449900,1.2951744092845800
1215,8522.5725006054,0.5738397555,3874.1975998931,32.4438914526,85.6470914675,45.5069469313,204.305013782,119.13267079310000,100.80133621560000,91.7729740678,104.92304616770000,336.48496938940000,423.1171083351,504.90735925620000,686.0524824663000,894.5820840427,1533.2113991078,1411.0040703338,309.3118804261,27.3872132662,87.57310553630000,80.25566273310000,190.7016848584,269.4425495977,471.859780725,512.1665872956000,1639.3865840123000,1720.3159507599,2427.7934831505,1190.9598417225,759.6020777245,196.69602023550000,587.8369506421000,84770.82460313930,320.368164395,8.269277860371390,4139.0751446457,1855.9661168131,578.8511866465,62.9624955068207,28.232456335522500,8.805328235099680,154.2334486158,323.36063556380000,121.71655931130000,77.0497982243,190.6987865652,269.4415480315,449.3340232714,307.9714983436,1893.8062979269,22.221064095287800,60.131118660002000,95.22617557720440,99.99962828209520,99.99848019528400,96.00543513114890,28.688318379710400,10.982913408342700,3629.6585667254000,3.1521798809466400
1221,8780.1777833554,0.8760674278,3648.2306647386,126.50007297260000,80.3647737958,178.6731941759,118.0721386217,75.5694356589,190.3778088383,226.4752028577,167.1926840307,433.46069419980000,502.8476486461,488.2818534399,722.8274450714,919.1265653389,1217.2089858779,1167.098062572,315.5795059771,87.1312972787,68.4493292717,236.12689122220000,155.1764191951,388.0549640192,368.828120604,546.6726950438,1850.4397166347000,1482.6775685491000,2136.3355512168,1211.1092985113,936.3083428459000,393.6678868884,769.5574240632000,69107.1719233827,427.2204148514,11.710345482829000,3437.7064607811,2103.4954717378,1072.8746466149,51.97496294063160,31.802918729866600,16.22087884289070,133.4631797282,256.8173518149,179.64805222260000,207.55747063740000,155.1738279058,388.0549640192,362.8667730209,434.6529584866,2118.2345778356000,24.1251900599455,79.50881074310380,98.38370578324190,100.0,99.9983301011111,87.90081873482360,38.12887377777330,10.771152649230500,4229.851512293700,2.9330463746517200
1222,4391.6733405895,0.5142016502000000,1644.4825347215000,33.8187959897,93.5847684583,73.2586714378,169.8717764036,43.7603520655,113.2613003127,95.20257953300000,56.9813905212,231.43538587220000,239.19708091730000,262.09106319240000,290.80251711110000,233.8357761055,479.0025023015,360.86751641800000,249.6155940161,126.0430017538,78.2021535291,142.386406636,160.8833454569,285.7409335735,244.0485837085,327.7572304657,1365.0616551235000,610.4831104341,712.838278407,552.8935803035000,470.6324667895,152.1839700542,527.5556646676,37605.1767383331,571.7123104446,34.765483875535500,871.9508922742,1373.5086086632,531.511972315,31.399068041861900,49.46022837021990,19.139817083339600,54.1698154104,175.6297830918,81.8928504837,92.9258598568,153.24338913490000,282.284872317,243.6061260072,189.84190000590000,1273.5945963077,29.00021239140580,57.921498706881200,99.81870097561050,98.7904913680801,95.25124474487840,65.26315401326050,18.04360712182880,20.911543355193500,1937.1260727304000,2.2069167752327700
1223,4419.6601334915,0.5187357801,1511.5579751878,7.976738790700000,16.943970981,16.463241591,67.21905112510000,61.693867402400000,64.4627188879,90.75102348890000,69.9201322047,175.1682222739,275.9256560623,162.5537997028,293.2274648099,307.74611972640000,494.8638458268,421.81990381240000,193.5726871469,111.8468049169,106.098581345,116.6242605666,357.67175401200000,336.5635303682,261.0292542231,409.5023602628,1699.3365456946,615.3925909593000,802.6099655532,455.78126451270000,451.09387833620000,160.67115569360000,234.75958877810000,51316.948551979,616.8412657417,40.80831009244370,995.2556325551,1087.3925974104,444.08751598560000,39.3887514712698,43.03521162812970,17.575437130401700,82.2526707525,116.3611503842,116.2943789082,65.76231869760000,345.31093054580000,336.5635303682,247.0365686025,333.1203332874,1642.7018815464,37.16805889887910,81.34759786820730,94.63941861143250,100.0,96.54408732936030,56.38819777129090,28.259847239485300,12.693707118730800,1610.0671510108000,2.9275653543196100
1224,6220.1979361588,0.4966097707,3534.2910465511,26.8758563051,137.197953597,239.8466204994,148.4372677211,97.37323319470000,97.0080417463,146.0271118297,68.3677996365,354.439462756,170.2353026265,397.0240915453,585.9525809796,697.6129818496,1126.3407763979000,1067.3823501622,150.7482197455,25.312723994000000,1.9440039261000000,48.775885350100000,77.5531079558,121.085012221,178.1715676355,256.5235918084,709.3658928909000,1218.1305699077,1823.9537582475,982.9766725249000,524.6747653825,214.3949114662,746.7389730636,79138.2515109088,537.4036637239,15.20541621065190,4006.1439124083000,875.5792499614,478.3982831596,74.7403220604048,16.33517830670810,8.925201525024260,137.3146561169,369.99343947090000,60.8083134841,45.9738487725,76.456600582,121.085012221,165.3090230279,169.86434888870000,1146.8052425640000,18.43679661538540,66.2178272537106,92.78080965538010,100.0,98.5861206562799,94.2552830000158,34.16102433193850,16.8660044192119,3166.3606969623,4.496462822394200
1225,5667.5117570751,0.49372998550000000,2223.8963690552,20.4199842388,93.1381804772,71.40772815360000,96.928753961,104.8587581292,113.792323949,188.418038618,101.6682873159,269.16994710070000,384.03807897090000,269.1265117279,228.3778526546,211.5510472819,527.0378067117,916.3948605881,560.3331076694000,141.2053441768,232.7562125721,152.8110511655,196.6193200455,234.831264209,306.3738488592,246.3001471667,1510.8971881948,1476.7279682575,738.5888539936,497.50436438250000,653.2080260716,290.0863259339,500.5457289088000,32263.3713725364,602.18882688,27.078097489580100,1880.9943969326,1278.3653814186,436.96838194600000,52.30387046233180,35.54686681804280,12.150561257762900,89.85974901900000,590.6164025153,624.8274201215,127.7063391305,171.86668374180000,234.831264209,306.3738488592,168.5828301458,2314.6645377421,40.84093049921890,68.4460939569396,100.0,100.0,87.41088297021270,83.57140282491040,66.87691195480850,40.91748897578670,2152.8487939111000,2.5567102723871300
1231,9697.6986023341,0.7543539521000000,3824.9287100366000,44.7075044847,123.071525329,115.24349134170000,144.3614988151,156.0460273577,89.3682477424,79.0291826177,162.88167209720000,530.3476167285000,262.9252860411,322.563665684,423.49457206470000,784.0992693982,958.7418150992000,1464.4463859133000,1352.7495149854000,339.9905488425,467.8187239679,287.5128546342,375.7810404836,251.2908611038,460.7547186469,500.5105032394,2683.6592509183,2817.1959008987000,1742.8410844974,746.0582377487000,793.2729027696000,241.91085471490000,672.7982950706000,59372.9600270003,453.6918840875,11.861446800224400,4270.87228551,1062.1090844883,328.3463907202,75.4399157949296,18.76090281853490,5.799851274303090,262.5474490277,848.8776068336,1677.487540066,250.3681254429,306.5757341986,244.342678413,460.7547186469,381.42491227970000,4432.378764908400,45.70547040760360,76.20717443710870,100.0,97.23500382772380,81.58360884946770,87.08067184037430,77.64137451577380,35.03143529994520,3238.1016354179000,4.064455574742150
1232,14033.102576563,0.9498525631,6047.6002554574,60.459025295300000,60.308040705,99.39726809950000,133.81354090900000,132.0922278447,212.13353927400000,328.62005749690000,170.7873661256,469.39081116530000,507.9609044668,675.5149004459000,808.8389510454000,1545.8948988796000,2063.0047286539,1872.5085573735,832.8899485015000,595.9445772628,565.541897275,971.7895361477,154.3964951522,356.8622346316,457.75353726520000,957.1706197183,4059.4588974528000,2705.398505875,3608.8996275335000,1484.3538514913000,977.3517156321,499.40742362250000,698.2036421275,101969.7518721240,742.3072618319000,12.27441018711570,6624.5388159204,1837.3643108004,678.8216846239,72.47256638954720,20.100796552999900,7.426320680216990,198.1450121884,758.6548438837,1635.1302949403,943.4853079379,152.03757899200000,356.8622346316,454.1363056233,722.5698267819,5221.0214049791,37.20503984413860,75.49018031858900,99.20978619553420,100.0,98.47216987803080,97.0874117124165,81.98704497561540,19.27715112987220,5205.240444581300,2.2445413082580600
1233,5866.612595444,0.8931010510000000,2589.6399573683000,145.5904917314,56.9546466851,100.27754447210000,306.3334007603,88.8839130079,60.7326912111,166.8869324919,60.9782729051,338.9148992146,260.1472445127,358.2490845497,429.6053117011,213.1580245427,709.4823766733,804.6770072717,233.7754318152,158.0312014919,164.1395910304,145.4219773917,95.8036158108,368.7252344112,358.11142352160000,241.773143597,1532.0061872546,1038.4524390869000,922.640401216,787.8543962508000,599.0621437273,227.865205397,758.7726878679,27884.5421956084,860.9198680779000,33.24477078863130,1081.2773158629,1717.7746544765,1301.8198678189,26.367273415860800,41.88845295924120,31.745270051825500,31.5089794227,165.49858341770000,207.7407171481,120.6313703832,94.6638702671,365.8958910156,358.11142352160000,152.26294180630000,1496.3137769823,25.5055835482359,62.977607661874900,100.0,99.23266890042990,98.81033139088320,82.95264068530340,37.367052433112000,10.930063583300500,2586.6715924292000,0.9606568957715440
1234,13555.5789560353,0.4942814337,4490.75420895,86.6077199402,145.5235281394,224.928989646,250.0601319957,200.7837542691,197.3936705498,222.47070798460000,158.1128115582,469.88533807450000,706.6913659075,787.0195610314,729.6327569937000,1077.3183763689,1252.070103348,1688.2059918180000,716.2213258527,246.6705676714,216.5942071172,378.8566607099,667.0335047128,1165.4069767211,1084.013365793,884.1601354864,4642.7354182118,2404.4273176707000,2329.3884797169000,1516.6523180251,1176.5767039820000,380.5835195428,1105.2977945402,36515.4624226998,1272.7964663079,28.342599195726100,2097.7764314114,3059.7492522079000,3039.1791481963,25.59318188836000,37.32939219449780,37.07843389143540,121.61405716770000,549.9774764118,481.24482094120000,296.2956417887,623.0534507424,1060.6786477976,1064.1252351984000,744.07031027,4941.0596403178,36.45037704655110,84.15560489624060,98.16532422734000,91.01358315031240,93.4066199584178,78.20784811688480,40.801228660476900,18.70496030342180,5256.346116804800,1.4653650466682900
1235,9280.7639182964,1.048541373,3705.2574171735000,117.8985453701,52.621685167800000,164.8445312731,240.48420021310000,137.8652359931,188.45053684450000,235.9306207201,168.1676830175,420.0721434602,474.6294815992,634.3332917816,530.3816946521,739.1153566813,1024.150555147,1396.5709012276000,553.7013761658000,174.66365264880000,107.43680600400000,257.866116567,252.2646801675,369.9181674968,461.858083819,577.6021782818,2201.6096849849,1950.2722773934000,1763.2659118283,1164.7149864337,894.7016250594000,404.09830373760000,902.1647348617,44545.3720359385,709.3828693449000,19.145305965976400,2656.7457586645,2193.0389339136,1675.7317659560000,40.71358443353440,33.6074596188694,25.679930613872900,75.53557584890000,366.51651373910000,426.8065054629,225.0334997463,251.8346862171,369.91010194480000,458.35657475090000,364.0173132557,2538.0107709657000,27.347002825512900,63.02215035589830,99.24186472191910,99.99781963885300,99.8295465103896,87.26757231318170,51.06551429807910,15.140796673402300,4104.731400771100,1.459333487437480
