,beat,population,crimes,square_mileage,households,85,80-84,75-79,70-74,67-69,65-66,62-64,60-61,55-59,50-54,45-49,40-44,35-39,30-34,25-29,22-24,21,20,18-19,15-17,10-14,5-9,0-4,<=21,22-29,30-39,40-49,50-59,60-64,65,med_income,pop_food_stamps,percent_on_fs,bachelors,high_school,no_high_school,percent_bachelors,percent_high_school,percent_no_high_school,se_35+,se_25-34,se_20-24,se_18-19,se_15-17,se_10-14,se_5-9,se_0-4,total_se,percent_se,percent_se_0-4,percent_se_5-9,percent_se_10-14,percent_se_15-17,percent_se_18-19,percent_se_20-24,percent_se_25-34,youngPop,percent_se_35+,Crime_density,Crime_density_young
70,634,4818.0542723593,869,0.6843472584,1810.3173724377,145.0116498039,88.4957841284,142.0502793561,134.2731598902,100.1463543768,89.6025172832,207.3263397667,172.2388140871,332.0374338453,457.5123992205,337.6762378598,322.2793967571,177.1705051764,365.6568842222,231.2619123322,191.4226140454,73.5527972494,69.8849302241,52.2041242746,251.7698871995,467.4468615543,220.5687794189,188.4838219927,1323.9112019135,422.6845263776,542.8273893986,659.9556346169,789.5498330658,379.5651538538,699.5797448386,46076.5587000888,587.3314625456,32.4435632938065,1076.1508133585,1782.5205727878,444.0682819638,32.583769276416,53.971282048210306,13.445530368858,102.7949940734,105.0210711814,132.0757669854,51.798082562,251.7698871995,456.0172160858,214.8556414173,98.6168923796,1412.9495518844,29.3261443730585,52.3211442430425,97.4098156517656,97.5548781244363,100.0,99.222203766001,39.4420451183663,17.5938623121962,2705.801659846,4.86660513351609,0.18036326510171688,0.321161751393655
71,711,3918.2475694626,720,0.7217640423,1334.4128694534,24.4477472233,77.305230873,90.084710577,132.5530501912,79.7289358647,14.1197048754,79.1845033723,91.6966676445,198.4073456658,283.911183631,193.475751429,267.6565106035,168.2714690003,248.5464622018,351.1329998233,175.4186670729,109.3123806844,46.5491714914,155.7837173575,103.0280773472,349.7909211408,273.511311483,404.306885607,1442.2824651113,526.5516668962,416.8179312021,461.1322620325,482.3185292968,170.8811710168,418.2393796046,22100.9154448615,687.1105084151,51.4915978513122,275.9253253602,1528.6680270715,495.9289170336,11.993903747782,66.4480404438152,21.5570052835054,32.2918171835,65.0653321268,106.0575530621,70.0705975817,103.0280773472,348.6682556012,252.5123936136,213.9106981855,1191.6047247016,30.4116752087983,52.9080027574471,92.3224682169296,99.6790466899659,100.0,44.9794104096891,32.0144538972549,10.8500184260232,1700.8669752533,1.4563046717298,0.18375561708030363,0.423313528027537
72,712,4662.5629458635,935,0.4882155032,1393.6293094627,74.3410059222,74.6175799195,50.0946016233,145.3633240799,100.0389374016,80.1350992565,103.8290088063,121.4082594367,269.1498288016,344.2306805152,171.4023924213,290.126873988,203.4078485153,278.4089575786,317.093582571,266.2002602507,75.8928985071,80.1343960851,174.5965808485,252.5404371758,313.3367034084,422.906933228,453.2735576356,1772.6815068885,583.2938428217,481.8168060939,461.5292664093,613.3805093168,225.237268243,524.590548203,25348.9735087012,872.8515619271,62.6315445578293,333.004775992,1535.5708372292,755.0723676625,12.6922729290575,58.5273412669688,28.7791204886272,56.1063304844,40.4785708823,87.7364096894,92.1500927637,216.3259534825,313.3358940304,388.4025226929,184.8776592697,1379.4134332953,29.5848752995191,40.7872147305642,91.8411338703455,99.9997416906506,85.6599267434981,52.7788644633654,20.7794135373388,6.79738005351432,2028.1786385747,2.1297701451214,0.20053348573653182,0.461004756788618
73,713,5002.7269593797,879,0.487888719,1621.057864345,84.7268205915,98.0658291787,109.5537189151,224.8084305526,91.1931064969,78.7145685377,130.7756699116,67.2446323206,299.1167527331,201.032258486,364.4628548287,298.3607656697,244.629432662,396.1430287323,401.6984443987,219.6601220593,81.7065316919,72.6560802494,114.9744828774,172.4529260258,536.8807592435,352.706844132,361.1242170863,1692.5018413063,621.358566458,640.7724613943,662.8236204984,500.1490112191,198.0203022322,687.0624742725,29756.9998642827,736.8795381446,45.4567078913214,538.2519136826,1856.9497212791,695.324679053,17.4159713313515,60.0844739933963,22.4983030594652,88.0669615569,74.18581371,114.1695751202,85.2658396989,172.4529260258,536.8807592435,337.1730894417,179.5930208061,1587.7879856031,31.7384498193756,49.7316469815099,95.5958454028506,100.0,100.0,74.1606637968714,30.5247688821014,9.29831504231909,2292.7235228831,3.249699257605,0.17570417237181965,0.38338682847143185
74,714,2916.1875249677,440,0.3820038501,920.8100487492,65.5237754533,86.6675781511,52.6870622062,97.3780304824,72.0177207985,76.9852969915,130.6639626831,23.3487923197,160.1735955535,204.0800344817,206.0769836803,103.8064956545,252.8045756748,219.4105333614,259.5196333839,51.5883351034,60.4849513318,41.6334058088,80.2075635577,135.6812853152,240.6779924366,140.7094452079,154.0770310566,853.4716747146,311.1079684873,472.2151090362,309.8834793348,364.2536300352,154.0127550028,451.259464083,24349.7694973242,430.2619196543,46.7264578876778,251.0042823054,1356.5070917376,403.6326926614,12.4807741137546,67.4500787005854,20.0699701844294,19.0064823595,40.5637076931,9.5549935835,49.6670994517,135.6812853152,240.6779924366,140.6792843012,96.4798502738,732.3106954146,25.1119205862014,62.6179318307076,99.9785651157565,100.0,100.0,61.9232117878388,6.21638098120805,8.469649754736,1532.1973484044,1.3733104960829,0.15088192931106975,0.28716927389164804
75,715,3426.8386427875,421,0.3613211373,1068.3515955227,19.1571047961,27.2305392784,42.2206732567,186.111583156,107.9109281201,89.4512554864,100.9095199419,56.9636609976,165.9801043138,229.7538976587,198.257242507,170.6053669402,190.5492304515,257.4264470943,317.3896101647,184.5140958536,89.1631210745,54.3449952348,71.2981352631,114.2444045348,241.2738106142,280.0346053553,232.0183293585,1082.3774014352,501.9037060183,447.9756775458,368.8626094472,395.7340019725,157.8731809395,472.0820840937,26543.0378803253,521.5736874547,48.8204154550371,333.9955767006,1374.830875528,451.0907013717,15.463136558533,63.6511350934271,20.8843398002477,23.6277950869,73.9153399387,96.4659354099,27.6741209157,114.2444045348,241.0036900464,232.7937107461,77.9863673773,887.7113640558,25.9046735662379,33.6121579673994,83.1303368563103,99.8880439749709,100.0,38.8146489576181,29.4083546275195,12.858955313664,1585.1310882397,1.28292871626415,0.12285375644577919,0.26559317593570364
76,722,3172.6667077406,848,0.4742114412,1442.7506196621,52.3104806837,64.8492137663,61.0319354972,103.7994303502,77.1676510935,104.128162957,95.3488908507,86.9792275929,235.3926999089,199.8403305248,77.6488887563,159.6937388746,128.9452493804,275.4873994341,244.3866816578,71.9595880592,86.5300611171,10.1813174123,69.1899686349,159.4133081026,219.0562621027,214.4675148216,374.8790994993,1133.7175316905,316.346269717,404.4326488145,237.3426276309,435.2330304337,182.3281184436,463.2868743479,16816.7901884043,759.9541828645,52.6739806940776,311.7903720147,1235.9231607733,419.2964546602,15.8511450146091,62.8332335015399,21.3166585741043,72.8566032606,68.4468455482,36.0554257205,54.2868833788,151.8551112458,203.3304798862,199.1396840934,150.0581041627,936.0291372962,29.5029142207878,40.0283996528807,92.8530757952084,92.8211218133872,95.2587416027177,78.4606272410091,21.3761896606911,13.1660430934429,1447.115506899,4.22222204852953,0.26728303919572416,0.5859933059643354
77,723,4371.3134405787,805,0.3791717209,1664.5810864576,108.8143784046,67.8248313864,44.2059065108,108.7854239406,70.9461886988,53.6578707054,147.5321906158,103.1626022474,281.2271414912,226.8271095763,265.9385817015,234.6478498804,137.0953571378,411.2123890698,300.3467976547,297.5878658481,93.1013926146,41.697470413,105.1793144225,204.1559090878,251.3575277047,343.7390253255,472.2979845551,1511.5286241232,597.9346635028,548.3077462076,500.5864315819,508.0542510675,250.6947928632,454.2345996466,16898.5454186323,931.3011730216,55.9480809074615,400.4870938384,1539.9690865244,621.7684410907,15.6306131635767,60.1034626225486,24.2670041794914,103.1761818661,99.6261208029,63.93310514,73.8988385573,199.6281131118,248.1956925843,321.3103443776,105.1569269716,1214.9253234116,27.7931413504578,22.264953569653,93.4750844985781,98.7420965072052,97.7821871547922,70.2598595199547,14.7860932980621,14.0011010554872,1850.6377638829,4.09319544041252,0.18415517691484268,0.434985179547507
78,724,3283.322524217,689,0.3754273193,1324.0702905467,71.5111920561,76.1613005512,93.0900938912,149.9123842121,87.0116243328,60.8873444092,139.4568497743,91.2760630561,190.5765471307,207.2305229899,230.7450678795,257.5684424984,106.0160765785,286.5529967334,204.6677997855,110.5930814532,35.3695395496,23.2002211671,121.9109107785,123.952434253,155.2653099789,260.6616800281,199.7177733306,920.0778690858,315.2608812387,392.5690733119,488.3135103779,397.8070701206,230.7329128304,538.5739394526,15602.5810680939,716.4522878109,54.1098378935065,310.7356844317,1379.9678311609,561.9607902878,13.7942186915462,61.259710435723,24.9466360823064,71.9312051409,78.0319139485,32.6304769732,80.3739413835,122.9515890646,155.2625054397,249.2924570004,80.4815739716,870.9556629224,26.5266557427252,40.2976523468324,95.6383220477692,99.9981937116537,99.1925570526859,65.9284233628042,19.2893879971745,15.885303411721,1761.4307771591,4.72643374799531,0.20984840658147383,0.3911592830864716
79,725,4577.2013512709,812,0.3756587914,1417.8907366861,71.1595835937,137.0861217501,122.4893448625,182.5942710343,85.6400301875,94.005208569,162.049390683,110.452864545,278.6848938385,202.3994209603,233.2461572988,218.0780285043,276.7217614574,319.0338267258,237.621738654,157.0824478385,99.8295077355,46.3609067038,114.0076030227,246.4143187489,475.6341079646,306.7883930363,399.7672476845,1688.8020848963,394.7041864925,595.7555881832,451.3241858031,481.0843147988,272.502255228,692.9745599971,24247.739740405,665.2747499322,46.9200293590381,282.5015784079,1731.9973029816,716.7637668788,10.3430541814374,63.412537543334,26.2424249729829,41.8959092784,96.4976198404,77.3464899112,67.8296809518,246.4143187489,462.7379016479,279.9983757593,244.5708398054,1517.2911359433,33.1488833350539,61.1783084337158,91.2675909893924,97.2886287798225,100.0,59.4957521721551,25.5039271665363,17.3352474747218,2174.6612531563,1.7438172753611,0.17740097882618625,0.373391487442683
80,726,3738.3322872256,485,0.3813162418,1144.0233721687,28.0854068588,30.2797118437,98.0187906647,218.2835830381,156.5227760936,49.0143116,69.3163792174,53.8540061787,221.2764972942,395.5284151569,292.1876715753,228.7122769318,213.7778383662,235.4365563324,272.0119596324,188.1528189394,47.6113135275,45.751687274,121.2642647469,182.146355428,230.1814625303,192.1574870972,168.7552273367,987.8677979406,460.1647785718,449.2143946986,520.8999485071,616.8049124511,123.1703853961,580.2045800989,28916.2891616297,509.5443341482,44.5396786939998,272.1655963926,1669.8406396649,620.2999447274,10.6218770941277,65.1693023526554,24.2086063107122,91.5404161179,26.9779578978,116.2951533762,77.6481196743,182.146355428,229.8386914789,189.6249737682,134.7130406818,1048.7847084231,28.0548819056814,79.8274772330583,98.6820636722216,99.8510865959265,100.0,64.0321531131743,41.310343938481,5.31639310177259,2054.8631543808,5.43760585400286,0.1297369957339834,0.23602544965878614
81,731,4678.1661464085,922,0.3539548782,1575.2407421511,161.1711531809,104.9420497801,30.5919080977,71.9877486696,37.6373193271,142.5653016124,91.8794717342,122.8680551453,389.5197387084,374.1631797769,343.8648041214,265.0878935317,142.0125849552,247.8093993614,197.6698041874,154.0468011536,167.2822919468,154.952605771,219.820507384,332.9014504939,385.3964510569,320.7723424281,219.163084892,1800.2887339727,351.716605341,389.8219843166,608.9526976531,763.6829184853,214.7475268795,548.8954806678,21443.6588668395,874.7115269626,55.5287521174777,575.9115225922,1632.6223904906,515.236509264,21.1434411599148,59.938469878715,18.9158792448353,73.857578799,80.8253916837,123.5444512671,138.9119057418,322.1477509228,318.5112504337,299.2079942676,126.7426818089,1483.7490049246,31.7164666343391,57.83030562439689,93.277366746376,82.6450917127607,96.7697048014824,63.193333231252,25.9393656232964,18.1434713539542,2278.3514077334,3.07763668622919,0.19708577488378295,0.4046785745475693
82,732,3281.7939804965,652,0.374739711,1111.3347711437,18.8559186833,26.3298431874,76.3277432066,117.0743369387,50.7528006214,80.8406459979,41.2373588208,39.187410157,207.6739024105,188.3852513201,102.5718003164,174.3684906949,174.5264622367,301.7145159663,228.4285732078,220.5580478276,32.7637457616,82.0905023231,99.0399565266,177.0158901531,221.4893668633,385.1477577185,235.3869153634,1232.9341347096,448.9866210354,476.240978203,276.9402910113,396.0591537306,80.4247689778,370.1812886353,22130.4222765992,519.4376437339,46.7399794572552,364.1771574097,1084.4115043812,379.686398442,19.9188754184995,59.3125000255204,20.7671621209253,59.7291118382,50.3274184369,90.7843283342,72.3554665565,168.6823155313,210.86929267,368.5599998914,100.2313963236,1121.5393295821,34.1745806180199,42.5815496876106,95.6931443855831,95.2051539341595,95.2921883935999,73.0568440193801,27.0664878540819,9.49317636400847,1298.1587087852,3.01109345503174,0.19867182518914836,0.5022498370866634
83,733,4067.8106286492,700,0.3698515649,1426.028439851,62.1001271866,150.7607387608,86.131099058,149.3702543044,25.5987142691,24.8415495702,124.9461093636,113.086200042,232.2179949714,264.009801085,227.7011046057,164.7121460434,270.7619605826,234.6551978967,530.6126445387,145.5594933039,20.8634608919,70.4335350481,70.8943846076,301.9480075572,127.75814586,357.9272420965,310.8988978519,1260.7236739132,676.1721378426,505.4171584793,392.4132506491,496.2277960564,238.0323094056,498.8024831491,27523.9608316395,700.9544185971,49.154308498247104,355.824438918,1544.1534504423,761.5277529197,13.3691815723945,58.017565958588,28.6124326708972,47.6904784097,23.0409148024,50.5153066739,36.6790931082,291.366300606,127.7571669269,357.9268322731,82.8405399873,1017.8166327875,25.021239327591,26.6454916886717,99.9998855009198,99.9992337607176,96.4955201934242,51.737656390162,21.3273897773105,3.01083013354831,1896.2596189967,2.19614819996016,0.17208274030014256,0.3691477648879988
84,734,3573.369352802,588,0.3706344853,1108.8716956373,115.8326661087,64.2180139376,122.4499481302,141.4290244243,49.4861110189,51.3510264035,69.1620964622,70.0448932228,332.7510868286,271.8707028919,168.1484322717,160.0835860657,177.8449541116,199.5508503678,308.7454164697,110.552180645,77.8357656898,50.3972273553,90.7724333675,173.7217111603,218.1685259124,280.3424655345,268.6136903736,1159.8518193934,419.2975971147,377.3958044794,328.2320183374,604.6217897205,139.206989685,544.7667900232,36209.8942953778,397.2399332892,35.8237959226559,319.1760151962,1466.1071182949,517.6856822685,13.8593494171844,63.6617097402506,22.4790912137374,48.7439615057,75.4249353918,80.0195872573,48.5556521089,173.7211146849,212.2655593305,266.7136150932,146.883912019,1052.3283373913,29.4491902038096,54.6822136335297,95.1384994723096,97.2943088114047,99.9996566489036,53.4916276974952,33.5111204857095,14.8387742174611,1794.6690859261,2.74042582741125,0.1645505801237505,0.3276370026157638
85,735,5806.9003910833,725,0.5715726905,1737.2843870397,68.8444031939,138.3879916398,226.8577515421,237.7987306394,197.0933963394,69.6370939335,143.7602875739,46.6253891798,318.3814226966,274.4219606283,595.6403151903,496.3094357077,332.9222679897,195.467977765,383.8725719781,232.1723317524,105.5276435036,145.1590877466,179.1397170919,238.907214493,488.3968286119,314.9551051707,376.631491924,1848.7170885417,616.0449037305,528.3902457547,1091.949750898,592.8033833249,190.3856767537,938.6193672881,35299.6462495934,665.6104758008,38.3132710318653,350.824084582,2568.3483773984,806.8485340148,9.41554083797269,68.930241954022,21.654486268029,84.2179607735,36.7549024892,91.4167358047,83.1822404534,211.2686830286,488.1590392704,291.2169765742,243.7462560754,1529.9627944694,26.3473228646855,64.717439009212,92.4630119636783,99.9513122674904,88.4312696361835,46.4342814668658,18.9323847907578,6.34426547658341,3146.6704210461,3.16581505065603,0.1248514613946647,0.2304022674732412
86,811,23146.6694772763,865,2.1448817342,8402.191607385,581.5892669905,513.5678438209,600.9074550352,746.5047252511,704.6336294144,471.225155947,847.496673219,648.5953248405,1349.4092838753,1943.6217731388,1449.0961880354,1775.4650027065,1841.0192512761,1158.2671835358,1436.1869416582,1003.5351912065,230.4028574817,152.6242571429,627.9267982459,754.159433353,1584.3026100981,1298.2050617402,1427.8580550331,6075.4790730949,2439.7221328647,2999.2864348119,3224.5611907419,3293.0310570141,1496.0919980595,3618.4280764591,76508.2205418794,575.3017822129,6.8470443081451,5615.0856715447,8165.3149895881,2287.1850376006,34.9465158239793,50.8183358514842,14.2347156899014,347.7657252599,370.6339252315,547.7450152001,562.0162074258,750.0388254554,1584.302101581,1217.0660710646,751.4907042439,6131.0585754622,26.4878650532476,52.630631006699,93.7499095430397,99.9999679027796,99.4536158118079,89.5034594789998,39.5038155080802,14.2856226144984,13473.2010877809,3.59504689794144,0.037370387167328475,0.06420152080892526
87,812,17257.4079352845,782,1.4065470129,6248.8395859703,373.1446647551,295.3753914822,354.2694008806,585.7617869106,457.6422580027,388.1841780829,620.4845585671,457.4256730975,1004.5721853458,1043.6736848593,1391.2745461302,1305.4891251525,1149.2624709736,1475.7050062527,1055.2017426364,600.7074095327,243.155337309,221.6707827463,416.4000821846,628.1329248716,1335.6952239859,835.6958303722,1018.4327057208,4699.1828871904,1655.9091521691,2624.9674772263,2696.7636712827,2048.2458702051,1077.9102316646,2454.3776801141,64309.689781816,689.1288729611,11.028109515058,2961.3610946514,7259.8400772456,1736.2655012291,24.7656845188453,60.713605421192,14.5202838390961,160.2315129018,237.6756895807,533.3209268352,325.469100747,603.4622388177,1335.6952239859,835.6949242103,330.0064922598,4361.5561093384,25.2735296383692,32.4033674886979,99.9998915679764,100.0,96.0723781421037,78.1625928216585,50.0520079402301,9.3909303329735,9426.6108896723,2.0461711875368,0.045313873493198396,0.08295664360738082
